Anzahl Adapationen;Titel;Autor
2;The Talented Mr. Ripley (Ripley, #1);Patricia Highsmith
2;The Stepford Wives;Ira Levin
2;Emma;Jane Austen
2;Journey to the Center of the Earth (Extraordinary Voyages, #3);Jules Verne
2;The Quiet American;Graham Greene
2;Little Women (Little Women, #1);Alcott, Louisa May
2;Casino Royale (James Bond, #1);Ian Fleming
2;Solaris;Stanisław Lem
2;Psycho;Robert Bloch
2;The Toilers of the Sea;Victor Hugo
2;Simulacron 3;Daniel F. Galouye
2;The Island of Dr. Moreau;H. G. Wells
2;Strange case of Dr. Jekyll and Mr. Hyde: By Robert Louis Stevenson & Illustrated;Robert Louis Stevenson
2;The Flight of the Phoenix;Trevor, Elleston
2;The Mysterious Island: By Jules Verne : Illustrated;Jules Verne
2;Good-Bye, Mr. Chips;Hilton, James
2;A Tale of Two Cities;Charles Dickens
2;Captain Blood;Rafael Sabatini
2;Every Man Dies Alone;Hans Fallada
2;The Poseidon Adventure;Paul Gallico
2;Let the Right One In;John Ajvide Lindqvist
2;The Fellowship of the Ring (The Lord of the Rings, #1);J. R. R. Tolkien
2;The Engagement ;Georges Simenon
2;The Phantom of the Opera: Piano/Vocal;Sir Richard Stilgoe
2;Heart of a Dog;Mikhail Bulgakov
2;Uncle Tom's Cabin, Harriet Beecher Stowe;Harriet Beecher Stowe
2;|രതിനിർവ്വേദം || Rathinirvedam|;Padmarajan
2;Red Dragon (Hannibal Lecter, #1);Harris, Thomas
2;The Lost World (Professor Challenger, #1);Arthur Conan Doyle
2;Imitation of Life;Fannie Hurst
2;The Sunshine Boys;Neil Simon
